fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Tom Murphy,0,0,187,227,2.5,71,0.17,84,7.51,85,0,2.5,0,1
Trevor Prangley,67,1,185,185,2.59,60,2.02,48,3.38,55,74,1.0,1,0
Ansar Chalangov,0,0,175,170,0.68,66,1.69,54,0.0,0,0,7.6,1,0
David Terrell,50,0,185,185,2.34,63,2.71,37,5.54,50,0,5.5,0,1
Nick Thompson,100,1,185,170,1.87,42,1.8,49,1.06,100,35,2.6,1,0
Derrick Noble,0,0,175,170,6.21,40,3.79,59,0.0,0,0,0.0,0,1
Fabiano Scherner,0,0,190,257,1.31,31,3.2,38,1.09,33,40,0.0,1,0
Royce Gracie,89,1,185,175,0.88,41,1.13,37,0.0,0,66,0.8,0,1
Rick Davis,0,0,175,155,3.09,50,6.19,64,0.0,0,0,0.0,1,0
Solomon Hutcherson,0,0,180,185,2.59,39,2.59,64,3.53,100,0,0.0,0,1
Branden Lee Hinkle,50,0,190,235,2.61,69,3.91,26,4.34,57,66,4.3,1,0
Kristian Rothaermel,0,0,182,205,0.75,50,2.49,41,0.0,0,0,0.0,0,0
Justin Levens,0,0,180,185,1.24,47,3.15,37,1.69,50,33,5.1,1,0
Gilbert Aldana,0,0,185,250,2.91,54,6.26,26,2.57,40,33,0.0,1,0
Dan Christison,100,1,203,265,4.23,51,3.88,54,0.0,0,37,1.1,1,0
Joe Jordan,0,0,167,155,1.85,25,4.27,59,0.0,0,66,0.0,1,0
Yuki Sasaki,0,0,187,185,1.09,43,1.2,57,0.43,100,66,0.0,1,0
Kristof Midoux,0,0,185,220,0.7,43,2.89,49,0.0,0,0,0.0,1,0
Jason Von Flue,50,0,182,170,1.89,36,3.23,52,0.62,16,58,1.5,1,0
Sammy Morgan,0,0,177,170,1.05,22,3.74,40,1.43,20,0,0.5,1,0
Rob MacDonald,50,0,190,205,1.8,50,2.04,46,7.19,80,80,5.4,1,0
Wes Combs,0,0,187,205,2.14,48,4.73,45,0.0,0,0,0.0,1,0
Cory Walmsley,0,0,182,205,0.79,100,1.18,50,0.0,0,0,0.0,1,0
Danny Abbadi,0,0,180,155,3.29,38,4.41,57,0.0,0,77,0.0,1,0
Mario Neto,0,0,182,229,1.89,50,1.89,70,2.84,100,0,0.0,1,0
Crafton Wallace,0,0,182,185,1.55,44,2.36,47,0.0,0,42,0.0,1,0
Ken Shamrock,50,0,185,205,1.47,46,4.3,39,0.94,60,44,2.5,1,0
Justin James,0,0,177,155,1.34,36,2.68,50,0.0,0,50,1.6,1,0
Jeremy Jackson,0,0,177,170,0.71,27,2.03,25,1.52,40,58,0.0,1,0
Edwin DeWees,0,0,185,185,1.53,33,6.19,39,2.18,66,0,3.3,1,0
Gideon Ray,0,0,177,185,2.08,40,2.58,53,1.49,100,0,0.0,0,1
Sherman Pendergarst,0,0,185,235,1.23,36,3.08,16,4.62,100,0,0.0,1,0
